index,base_salary,bonus_total,name,position,roster_status,team,total_money,year
0,5250000,1750000,Edgerrin James,RB,active,arizona-cardinals,7000000,2007
1,3580000,3262000,Larry Fitzgerald,WR,active,arizona-cardinals,6842000,2007
2,4500000,900000,Chike Okeafor,G,active,arizona-cardinals,5400000,2007
3,4000000,1000000,Kurt Warner,QB,active,arizona-cardinals,5000000,2007
4,510000,3500000,Darnell Dockett,DE,active,arizona-cardinals,4010000,2007
5,2000000,3000000,Anquan Boldin,WR,active,arizona-cardinals,5000000,2007
6,2430000,3104000,Antrel Rolle,SS,active,arizona-cardinals,5534000,2007
7,1000000,600000,Reggie Wells,G,active,arizona-cardinals,1600000,2007
8,1800000,700000,Oliver Ross,T,active,arizona-cardinals,2500000,2007
9,285000,1925000,Levi Brown,LT,active,arizona-cardinals,2210000,2007
10,811250,1650000,Calvin Pace,OLB,active,arizona-cardinals,2461250,2007
11,751250,1247500,Bryant Johnson,WR,active,arizona-cardinals,1998750,2007
12,894000,525000,Karlos Dansby,ILB,active,arizona-cardinals,1419000,2007
13,600000,800000,Mike Gandy,T,active,arizona-cardinals,1400000,2007
14,650000,300000,Monty Beisel,LB,active,arizona-cardinals,950000,2007
15,435000,459375,J.J. Arrington,RB,active,arizona-cardinals,894375,2007
16,360000,496250,Taitusi Lutui,G,active,arizona-cardinals,856250,2007
17,800000,0,Neil Rackers,K,active,arizona-cardinals,800000,2007
18,285000,500000,Alan Branch,DT,active,arizona-cardinals,785000,2007
19,435000,185667,Eric Green,CB,active,arizona-cardinals,620667,2007
20,435000,146333,Darryl Blackstock,LB,active,arizona-cardinals,581333,2007
21,360000,192667,Leonard Pope,TE,active,arizona-cardinals,552667,2007
22,435000,114167,Elton Brown,G,active,arizona-cardinals,549167,2007
23,510000,0,Oliver Celestin,S,active,arizona-cardinals,510000,2007
24,510000,0,Antonio Smith,DE,active,arizona-cardinals,510000,2007
25,510000,0,Matt Ware,CB,active,arizona-cardinals,510000,2007
26,360000,115833,Gabe Watson,DT,active,arizona-cardinals,475833,2007
27,720000,0,Ralph Brown,CB,active,arizona-cardinals,720000,2007
28,595000,0,Rodney Bailey,DE,active,arizona-cardinals,595000,2007
29,360000,0,Brandon Johnson,LB,active,arizona-cardinals,360000,2007
30,285000,47083,Steve Breaston,WR,active,arizona-cardinals,332083,2007
31,285000,16645,Ben Patrick,TE,active,arizona-cardinals,301645,2007
32,285000,6250,Lyle Sendlein,C,active,arizona-cardinals,291250,2007
33,285000,1750,Michael Adams,S,active,arizona-cardinals,286750,2007
34,285000,1500,Tim Castille,RB,active,arizona-cardinals,286500,2007
35,285000,0,Troy Bienemann,TE,active,arizona-cardinals,285000,2007
36,285000,0,Quentin Moses,DE,active,arizona-cardinals,285000,2007
37,241176,0,Mitch Berger,P,active,arizona-cardinals,241176,2007
38,201176,0,Mike Barr,P,active,arizona-cardinals,201176,2007
39,0,130000,Obafemi Ayanbadejo,FB,active,arizona-cardinals,130000,2007
40,79900,0,Scott Peters,C,active,arizona-cardinals,79900,2007
41,16764,0,David Holloway,LB,active,arizona-cardinals,16764,2007
42,16176,0,Shane Boyd,QB,active,arizona-cardinals,16176,2007
43,4000000,1000000,Bertrand Berry,DE,injured_reserve,arizona-cardinals,5000000,2007
44,4000000,900000,Adrian Wilson,S,injured_reserve,arizona-cardinals,4900000,2007
45,2760000,3030000,Matt Leinart,QB,injured_reserve,arizona-cardinals,5790000,2007
46,79900,0,David Holloway,LB,practice_squad,arizona-cardinals,79900,2007
47,14100,0,Matt Baker,QB,practice_squad,arizona-cardinals,14100,2007
48,0,750000,Milford Brown,G,dead_cap,arizona-cardinals,750000,2007
49,0,500000,Kendrick Clancy,DT,dead_cap,arizona-cardinals,500000,2007
50,385882,0,Brad Badger,G,dead_cap,arizona-cardinals,385882,2007
51,203333,0,Buster Davis,LB,dead_cap,arizona-cardinals,203333,2007
52,91964,1750,Michael Adams,S,dead_cap,arizona-cardinals,93714,2007
53,79900,1000,Steve Baylark,RB,dead_cap,arizona-cardinals,80900,2007
54,42300,6000,Travarous Bain,CB,dead_cap,arizona-cardinals,48300,2007
55,44150,0,Brandon Johnson,LB,dead_cap,arizona-cardinals,44150,2007
56,41298,0,Todd Watkins,WR,dead_cap,arizona-cardinals,41298,2007
57,36166,0,Lance Mitchell,LB,dead_cap,arizona-cardinals,36166,2007
58,27067,0,Jonathan Lewis,DT,dead_cap,arizona-cardinals,27067,2007
59,23500,0,Lang Campbell,QB,dead_cap,arizona-cardinals,23500,2007
60,14833,0,Ben Patrick,TE,dead_cap,arizona-cardinals,14833,2007
61,13333,0,LeRon McCoy,WR,dead_cap,arizona-cardinals,13333,2007
62,6000,0,David Holloway,LB,dead_cap,arizona-cardinals,6000,2007
63,8065000,0,Karlos Dansby,ILB,active,arizona-cardinals,8065000,2008
64,2100000,6262000,Larry Fitzgerald,WR,active,arizona-cardinals,8362000,2008
65,3500000,3300000,Mike Gandy,T,active,arizona-cardinals,6800000,2008
66,5000000,1750000,Edgerrin James,RB,active,arizona-cardinals,6750000,2008
67,370000,8710000,Levi Brown,LT,active,arizona-cardinals,9080000,2008
68,4000000,2000000,Kurt Warner,QB,active,arizona-cardinals,6000000,2008
69,4750000,900000,Adrian Wilson,S,active,arizona-cardinals,5650000,2008
70,4500000,900000,Chike Okeafor,G,active,arizona-cardinals,5400000,2008
71,2500000,3000000,Anquan Boldin,WR,active,arizona-cardinals,5500000,2008
72,1100000,600000,Reggie Wells,G,active,arizona-cardinals,1700000,2008
73,3250000,0,Darnell Dockett,DE,active,arizona-cardinals,3250000,2008
74,1210000,3104000,Antrel Rolle,SS,active,arizona-cardinals,4314000,2008
75,735000,3030000,Matt Leinart,QB,active,arizona-cardinals,3765000,2008
76,2017000,0,Antonio Smith,DE,active,arizona-cardinals,2017000,2008
77,1000000,1000000,Bertrand Berry,DE,active,arizona-cardinals,2000000,2008
78,750000,1150000,Travis LaBoy,DT,active,arizona-cardinals,1900000,2008
79,295000,1090000,Dominique Rodgers-Cromartie,CB,active,arizona-cardinals,1385000,2008
80,1000000,350000,Clark Haggans,LB,active,arizona-cardinals,1350000,2008
81,850000,350000,Bryan Robinson,DE,active,arizona-cardinals,1200000,2008
82,520000,459375,J.J. Arrington,RB,active,arizona-cardinals,979375,2008
83,445000,496250,Taitusi Lutui,G,active,arizona-cardinals,941250,2008
84,730000,200000,Jerame Tuman,TE,active,arizona-cardinals,930000,2008
85,927000,0,Elton Brown,G,active,arizona-cardinals,927000,2008
86,900000,0,Monty Beisel,LB,active,arizona-cardinals,900000,2008
87,370000,500000,Alan Branch,DT,active,arizona-cardinals,870000,2008
88,800000,0,Neil Rackers,K,active,arizona-cardinals,800000,2008
89,605000,125000,Matt Ware,CB,active,arizona-cardinals,730000,2008
90,445000,192667,Leonard Pope,TE,active,arizona-cardinals,637667,2008
91,605000,0,Victor Hobson,LB,active,arizona-cardinals,605000,2008
92,295000,300000,Calais Campbell,DE,active,arizona-cardinals,595000,2008
93,445000,115833,Gabe Watson,DT,active,arizona-cardinals,560833,2008
94,295000,183333,Early Doucet,WR,active,arizona-cardinals,478333,2008
95,730000,0,Ralph Brown,CB,active,arizona-cardinals,730000,2008
