ageAtBeg,avgAmount,currentAge,faYear,grtAmount,grtSigning,name,position,practicalGrt,team,totalAmount,totalYears,yrRange
32,"$30,000,000",34,2024,"$94,500,000",66.67%,Matt Ryan,QB,"$100,000,000",ATL,"$150,000,000",5, (2018-2023)
27,"$23,500,000",28,2025,"$60,000,000",63.83%,Khalil Mack,OLB,"$90,000,000",CHI,"$141,000,000",6, (2018-2024)
30,"$35,000,000",31,2024,"$70,000,000",76.43%,Russell Wilson,QB,"$107,000,000",SEA,"$140,000,000",4, (2019-2023)
26,"$27,500,000",28,2023,"$41,700,000",53.89%,Jimmy Garoppolo,QB,"$74,100,000",SF,"$137,500,000",5, (2018-2022)
29,"$27,000,000",31,2023,"$60,500,000",68.15%,Matthew Stafford,QB,"$92,000,000",DET,"$135,000,000",5, (2017-2022)
27,"$22,500,000",28,2025,"$50,000,000",64.36%,Aaron Donald,DT,"$86,892,000",LAR,"$135,000,000",6, (2018-2024)
34,"$33,500,000",36,2024,"$79,200,000",73.66%,Aaron Rodgers,QB,"$98,700,000",GB,"$134,000,000",4, (2018-2023)
24,"$33,500,000",25,2025,"$57,042,682",82.12%,Jared Goff,QB,"$110,042,682",LAR,"$134,000,000",4, (2019-2024)
26,"$32,000,000",27,2025,"$66,470,683",84.35%,Carson Wentz,QB,"$107,970,683",PHI,"$128,000,000",4, (2019-2024)
26,"$25,000,000",28,2023,"$40,000,000",56.16%,Derek Carr,QB,"$70,200,000",OAK,"$125,000,000",5, (2017-2022)
27,"$19,016,667",30,2022,"$42,000,000",61.35%,Von Miller,OLB,"$70,000,000",DEN,"$114,100,000",6, (2016-2021)
26,"$21,000,000",27,2024,"$48,000,000",61.90%,DeMarcus Lawrence,DE,"$65,000,000",DAL,"$105,000,000",5, (2019-2023)
25,"$20,800,000",26,2024,"$43,805,000",59.91%,Frank Clark,DE,"$62,305,000",KC,"$104,000,000",5, (2019-2023)
26,"$20,760,000",30,2021,"$41,000,000",57.80%,Cam Newton,QB,"$60,000,000",CAR,"$103,800,000",5, (2015-2020)
25,"$17,100,000",29,2023,"$36,299,000",61.69%,Fletcher Cox,DT,"$63,299,000",PHI,"$102,600,000",6, (2016-2022)
25,"$16,667,571",30,2022,"$30,881,810",51.87%,J.J. Watt,DE,"$51,876,000",HOU,"$100,005,425",6, (2014-2021)
23,"$12,200,000",29,2024,"$22,118,013",22.66%,Tyron Smith,LT,"$22,118,013",DAL,"$97,600,000",8, (2016-2023)
25,"$19,250,000",26,2025,"$35,648,043",62.96%,Michael Thomas,WR,"$60,598,043",NO,"$96,250,000",5, (2019-2024)
26,"$16,000,000",32,2021,"$17,000,000",17.71%,Andy Dalton,QB,"$17,000,000",CIN,"$96,000,000",6, (2014-2020)
33,"$23,500,000",35,2023,"$55,000,000",75.53%,Alex Smith,QB,"$71,000,000",WAS,"$94,000,000",4, (2018-2022)
25,"$18,000,000",27,2024,"$40,959,000",72.22%,"Odell Beckham, Jr.",WR,"$65,000,000",CLE,"$90,000,000",5, (2018-2023)
25,"$18,000,000",26,2024,"$40,000,000",62.22%,Trey Flowers,DE,"$56,000,000",DET,"$90,000,000",5, (2019-2023)
24,"$15,000,000",24,2027,"$28,052,137",55.61%,Ezekiel Elliott,RB,"$50,052,137",DAL,"$90,000,000",6, (2019-2026)
30,"$22,000,000",30,2023,"$45,125,000",56.96%,Nick Foles,QB,"$50,125,000",JAC,"$88,000,000",4, (2019-2022)
27,"$17,100,000",28,2024,"$19,750,000",39.01%,Dee Ford,OLB,"$33,350,000",SF,"$85,500,000",5, (2019-2023)
25,"$17,000,000",29,2021,"$40,500,000",61.76%,Olivier Vernon,OLB,"$52,500,000",CLE,"$85,000,000",5, (2016-2020)
26,"$17,000,000",27,2024,"$43,000,000",60.00%,C.J. Mosley,ILB,"$51,000,000",NYJ,"$85,000,000",5, (2019-2023)
34,"$21,000,000",38,2020,"$54,000,000",79.76%,Eli Manning,QB,"$67,000,000",NYG,"$84,000,000",4, (2015-2019)
29,"$28,000,000",31,2021,"$84,000,000",100.00%,Kirk Cousins,QB,"$84,000,000",MIN,"$84,000,000",3, (2018-2020)
27,"$14,000,000",29,2025,"$32,000,000",47.62%,Zack Martin,G,"$40,000,000",DAL,"$84,000,000",6, (2018-2024)
25,"$14,000,000",26,2025,"$26,000,000",52.98%,Landon Collins,FS,"$44,500,000",WAS,"$84,000,000",6, (2019-2024)
33,"$20,812,500",38,2020,"$37,500,000",78.08%,Philip Rivers,QB,"$65,000,000",LAC,"$83,250,000",4, (2015-2019)
27,"$16,500,000",29,2022,"$31,000,000",61.82%,Chandler Jones,OLB,"$51,000,000",ARI,"$82,500,000",5, (2017-2021)
24,"$16,500,000",26,2024,"$38,258,000",66.68%,Mike Evans,WR,"$55,008,000",TB,"$82,500,000",5, (2018-2023)
25,"$16,200,000",27,2023,"$36,500,000",60.49%,DeAndre Hopkins,WR,"$49,000,000",HOU,"$81,000,000",5, (2017-2022)
24,"$16,200,000",26,2024,"$20,459,000",61.06%,Brandin Cooks,WR,"$49,459,000",LAR,"$81,000,000",5, (2018-2023)
28,"$16,100,000",30,2022,"$35,000,000",43.48%,Kawann Short,DE,"$35,000,000",CAR,"$80,500,000",5, (2017-2021)
27,"$16,000,000",28,2024,"$34,000,000",62.50%,Taylor Lewan,LT,"$50,000,000",TEN,"$80,000,000",5, (2018-2023)
25,"$15,100,000",27,2023,"$34,000,000",62.25%,Jarvis Landry,WR,"$47,000,000",CLE,"$75,500,000",5, (2018-2022)
25,"$15,050,000",26,2025,"$27,185,641",52.17%,Xavien Howard,CB,"$39,260,641",MIA,"$75,250,000",5, (2019-2024)
28,"$15,000,000",32,2021,"$36,500,000",66.67%,Josh Norman,CB,"$50,000,000",WAS,"$75,000,000",5, (2016-2020)
28,"$14,500,000",30,2023,"$34,000,000",62.07%,Trumaine Johnson,CB,"$45,000,000",NYJ,"$72,500,000",5, (2018-2022)
26,"$14,500,000",27,2024,"$34,946,000",57.03%,Jake Matthews,LT,"$41,350,000",ATL,"$72,500,000",5, (2018-2023)
23,"$14,400,000",25,2024,"$16,907,000",55.56%,Danielle Hunter,DE,"$40,000,000",MIN,"$72,000,000",5, (2018-2023)
24,"$14,400,000",26,2024,"$16,907,000",55.57%,Stefon Diggs,WR,"$40,007,000",MIN,"$72,000,000",5, (2018-2023)
29,"$18,000,000",30,2026,"$20,350,000",75.83%,Lane Johnson,RT,"$54,595,000",PHI,"$72,000,000",4, (2019-2025)
25,"$14,100,000",26,2025,"$19,625,000",43.97%,Kevin Byard,FS,"$31,000,000",TEN,"$70,500,000",5, (2019-2024)
27,"$14,020,000",29,2023,"$22,400,000",46.79%,Xavier Rhodes,CB,"$32,800,000",MIN,"$70,100,000",5, (2017-2022)
24,"$14,010,000",29,2021,"$16,249,114",67.62%,Patrick Peterson,CB,"$47,368,114",ARI,"$70,050,000",5, (2016-2020)
26,"$13,750,000",29,2023,"$20,776,000",60.40%,Desmond Trufant,CB,"$41,526,000",ATL,"$68,750,000",5, (2017-2022)
24,"$11,403,500",24,2025,"$19,006,678",51.75%,Jaylon Smith,ILB,"$35,406,678",DAL,"$68,421,000",6, (2019-2024)
27,"$13,600,000",31,2021,"$30,000,000",60.66%,Trent Williams,LT,"$41,250,000",WAS,"$68,000,000",5, (2015-2020)
37,"$34,000,000",37,2022,"$37,500,000",55.15%,Ben Roethlisberger,QB,"$37,500,000",PIT,"$68,000,000",2, (2019-2021)
26,"$17,000,000",26,2023,"$38,000,000",62.50%,Grady Jarrett,DT,"$42,500,000",ATL,"$68,000,000",4, (2019-2022)
25,"$13,500,000",28,2022,"$26,000,000",38.52%,A.J. Bouye,CB,"$26,000,000",JAC,"$67,500,000",5, (2017-2021)
26,"$13,500,000",27,2024,"$15,900,000",48.89%,Anthony Barr,OLB,"$33,000,000",MIN,"$67,500,000",5, (2019-2023)
26,"$13,300,000",28,2023,"$30,000,000",45.11%,Andrew Norwell,G,"$30,000,000",JAC,"$66,500,000",5, (2018-2022)
31,"$22,133,333",35,2022,"$44,000,000",66.27%,Joe Flacco,QB,"$44,000,000",DEN,"$66,400,000",3, (2016-2021)
26,"$16,500,000",27,2023,"$20,000,000",30.30%,Za'Darius Smith,OLB,"$20,000,000",GB,"$66,000,000",4, (2019-2022)
25,"$16,500,000",26,2023,"$36,250,000",54.92%,Trenton Brown,RT,"$36,250,000",OAK,"$66,000,000",4, (2019-2022)
30,"$22,000,000",30,2024,"$64,000,000",96.97%,Julio Jones,WR,"$64,000,000",ATL,"$66,000,000",3, (2019-2023)
