base_salary,cap_hit,cap_perc,dead_cap_amt,name,option_bonus,other_bonus,position,restruct_bonus,roster_bonus,roster_status,signing_bonus,team,workout_bonus,year
"$5,250,000","$7,000,000 ",6.42,-,Edgerrin James,-,-,RB,-,-,active,"$1,750,000",arizona-cardinals,-,2007
"$3,580,000","$5,836,000 ",5.35,-,Larry Fitzgerald,"$1,006,000",-,WR,-,-,active,"$1,250,000",arizona-cardinals,-,2007
"$4,500,000","$5,400,000 ",4.95,-,Chike Okeafor,-,-,G,-,-,active,"$900,000",arizona-cardinals,-,2007
"$4,000,000","$5,000,000 ",4.59,-,Kurt Warner,-,-,QB,-,-,active,"$1,000,000",arizona-cardinals,-,2007
"$510,000","$4,010,000 ",3.68,"$3,500,000",Darnell Dockett,-,-,DE,-,"$3,500,000",active,-,arizona-cardinals,-,2007
"$2,000,000","$4,000,000 ",3.67,-,Anquan Boldin,"$1,000,000",-,WR,-,-,active,"$1,000,000",arizona-cardinals,-,2007
"$2,430,000","$3,982,000 ",3.65,-,Antrel Rolle,"$1,552,000",-,SS,-,-,active,-,arizona-cardinals,-,2007
"$1,000,000","$3,300,000 ",3.03,-,Reggie Wells,-,-,G,-,-,active,"$600,000",arizona-cardinals,-,2007
"$1,800,000","$2,500,000 ",2.29,-,Oliver Ross,-,-,T,-,-,active,"$700,000",arizona-cardinals,-,2007
"$285,000","$2,210,000 ",2.03,"$1,925,000",Levi Brown,-,-,LT,-,"$1,925,000",active,-,arizona-cardinals,-,2007
"$811,250","$1,936,250 ",1.78,-,Calvin Pace,"$525,000",-,OLB,-,-,active,"$600,000",arizona-cardinals,-,2007
"$751,250","$1,560,000 ",1.43,-,Bryant Johnson,"$438,750",-,WR,-,-,active,"$370,000",arizona-cardinals,-,2007
"$894,000","$1,419,000 ",1.30,-,Karlos Dansby,-,-,ILB,-,-,active,"$525,000",arizona-cardinals,-,2007
"$600,000","$1,400,000 ",1.28,-,Mike Gandy,-,-,T,-,-,active,"$800,000",arizona-cardinals,-,2007
"$650,000","$950,000 ",0.87,"$300,000",Monty Beisel,-,-,LB,-,"$300,000",active,-,arizona-cardinals,-,2007
"$435,000","$894,375 ",0.82,-,J.J. Arrington,-,-,RB,-,-,active,"$459,375",arizona-cardinals,-,2007
"$360,000","$856,250 ",0.79,-,Taitusi Lutui,-,-,G,-,-,active,"$496,250",arizona-cardinals,-,2007
"$800,000","$800,000 ",0.73,-,Neil Rackers,-,-,K,-,-,active,-,arizona-cardinals,-,2007
"$285,000","$785,000 ",0.72,-,Alan Branch,-,-,DT,-,-,active,"$500,000",arizona-cardinals,-,2007
"$435,000","$620,667 ",0.57,-,Eric Green,-,-,CB,-,-,active,"$185,667",arizona-cardinals,-,2007
"$435,000","$581,333 ",0.53,-,Darryl Blackstock,-,-,LB,-,-,active,"$146,333",arizona-cardinals,-,2007
"$360,000","$552,667 ",0.51,-,Leonard Pope,-,-,TE,-,-,active,"$192,667",arizona-cardinals,-,2007
"$435,000","$549,167 ",0.50,-,Elton Brown,-,-,G,-,-,active,"$114,167",arizona-cardinals,-,2007
"$510,000","$510,000 ",0.47,-,Oliver Celestin,-,-,S,-,-,active,-,arizona-cardinals,-,2007
"$510,000","$510,000 ",0.47,-,Antonio Smith,-,-,DE,-,-,active,-,arizona-cardinals,-,2007
"$510,000","$510,000 ",0.47,-,Matt Ware,-,-,CB,-,-,active,-,arizona-cardinals,-,2007
"$360,000","$475,833 ",0.44,-,Gabe Watson,-,-,DT,-,-,active,"$115,833",arizona-cardinals,-,2007
